cpuTime,nvarsOrig,nclausesOrig,nvars,nclauses,reducedVars,reducedClauses,Pre-featuretime,vars-clauses-ratio,POSNEG-RATIO-CLAUSE-mean,POSNEG-RATIO-CLAUSE-coeff-variation,POSNEG-RATIO-CLAUSE-min,POSNEG-RATIO-CLAUSE-max,POSNEG-RATIO-CLAUSE-entropy,VCG-CLAUSE-mean,VCG-CLAUSE-coeff-variation,VCG-CLAUSE-min,VCG-CLAUSE-max,VCG-CLAUSE-entropy,UNARY,BINARY+,TRINARY+,Basic-featuretime,VCG-VAR-mean,VCG-VAR-coeff-variation,VCG-VAR-min,VCG-VAR-max,VCG-VAR-entropy,POSNEG-RATIO-VAR-mean,POSNEG-RATIO-VAR-stdev,POSNEG-RATIO-VAR-min,POSNEG-RATIO-VAR-max,POSNEG-RATIO-VAR-entropy,HORNY-VAR-mean,HORNY-VAR-coeff-variation,HORNY-VAR-min,HORNY-VAR-max,HORNY-VAR-entropy,horn-clauses-fraction,VG-mean,VG-coeff-variation,VG-min,VG-max,KLB-featuretime,CG-mean,CG-coeff-variation,CG-min,CG-max,CG-entropy,cluster-coeff-mean,cluster-coeff-coeff-variation,cluster-coeff-min,cluster-coeff-max,cluster-coeff-entropy,CG-featuretime,restarts,conflicts,decisions,propagations,conflictLiterals
6.96216,61078.000000000,200509.000000000,15337.000000000,74950.000000000,2.982395514,1.675236825,0.260000000,0.204629753,0.473463700,0.571735527,0.000000000,1.000000000,1.296472945,0.000219809,0.338947079,0.000130404,0.002151659,1.074228299,0.000000000,0.172781855,0.496691127,0.020000000,0.000219809,0.878542284,0.000093396,0.008712475,2.221578755,0.040030978,0.085596573,0.000000000,0.921568627,1.213173402,0.000106973,0.720659311,0.000013342,0.003322215,2.046145681,0.504256171,0.000107477,0.843188467,0.000053369,0.003642428,0.260000000,0.000570841,1.459060653,0.000066711,0.004749833,3.479212093,0.306981888,0.374938944,0.010804825,0.712121212,3.411405907,5.860000000,23,4468,17275,3889109,58552
8.57027,10307.000000000,36378.000000000,4481.000000000,23927.000000000,1.300156215,0.520374472,0.060000000,0.187277970,0.433538518,0.560065469,0.000000000,1.000000000,1.256666742,0.000750889,0.249138089,0.000446329,0.006694934,0.978141598,0.000000000,0.078823087,0.585280227,0.000000000,0.000750889,0.720907690,0.000292557,0.011576880,2.350246280,0.025046163,0.066183118,0.000000000,0.636363636,1.148017128,0.000347706,0.630533046,0.000041794,0.003009153,2.212018385,0.477535838,0.000359328,0.738220381,0.000167175,0.003970410,0.020000000,0.001660765,0.738350626,0.000250763,0.013624775,3.782270256,0.261260714,0.457463227,0.019424301,0.712121212,3.441549577,0.960000000,85,23413,40836,4015037,558219
6.84882,61078.000000000,200509.000000000,15337.000000000,74950.000000000,2.982395514,1.675236825,0.280000000,0.204629753,0.473463700,0.571735527,0.000000000,1.000000000,1.296472945,0.000219809,0.338947079,0.000130404,0.002151659,1.074228299,0.000000000,0.172781855,0.496691127,-0.000000000,0.000219809,0.878542284,0.000093396,0.008712475,2.221578755,0.040030978,0.085596573,0.000000000,0.921568627,1.213173402,0.000106973,0.720659311,0.000013342,0.003322215,2.046145681,0.504256171,0.000107477,0.843188467,0.000053369,0.003642428,0.260000000,0.000570841,1.459060653,0.000066711,0.004749833,3.479212093,0.306981888,0.374938944,0.010804825,0.712121212,3.411405907,5.920000000,25,4662,18367,4076478,59869
9.46306,8145.000000000,28226.000000000,3589.000000000,18828.000000000,1.269434383,0.499150202,0.040000000,0.190620353,0.428336297,0.573400806,0.000000000,1.000000000,1.275760264,0.000940588,0.262552033,0.000557258,0.008358874,0.993250896,0.000000000,0.084076907,0.572551519,-0.000000000,0.000940588,0.710012148,0.000371787,0.014712131,2.356531245,0.025459412,0.067745111,0.000000000,0.733333333,1.143300416,0.000435051,0.608411835,0.000053112,0.003824092,2.215779312,0.479711069,0.000451389,0.699854372,0.000212450,0.005045677,0.020000000,0.002054740,0.818152983,0.000318674,0.008391757,3.435972868,0.276787314,0.399621062,0.028523770,0.712121212,3.379619166,0.760000000,88,23975,46645,3371521,699620
599.577,5800.000000000,20234.000000000,2346.000000000,12767.000000000,1.472293265,0.584867236,0.020000000,0.183754993,0.471612826,0.593465116,0.000000000,1.000000000,1.355810948,0.001441870,0.197044563,0.000852515,0.002983802,0.978142856,0.000000000,0.050755855,0.608600298,-0.000000000,0.001441870,1.196051588,0.000548289,0.036735333,2.453862017,0.022271008,0.055043430,0.000000000,0.600000000,1.104504352,0.000667048,0.994367665,0.000156654,0.014803791,2.347915638,0.482650584,0.000682840,0.980769293,0.000391635,0.012767291,-0.000000000,0.005352380,1.068700478,0.000469962,0.033758910,4.456568094,0.219562982,0.546090124,0.013019999,0.604395604,3.686516073,1.920000000,93,25354,42286,4181352,746933
599.691,23489.000000000,81784.000000000,11379.000000000,62806.000000000,1.064241146,0.302168583,0.160000000,0.181176958,0.460611368,0.563319365,0.000000000,1.000000000,1.309918101,0.000302967,0.248028735,0.000175762,0.003075841,1.029859338,0.000000000,0.101311977,0.479683470,-0.000000000,0.000302967,0.575394119,0.000111454,0.003582460,2.463934900,0.022695037,0.052218314,0.000000000,0.666666667,1.069528598,0.000147449,0.557826603,0.000015922,0.001624049,2.259215073,0.510651849,0.000135884,0.568044108,0.000063688,0.001417062,0.160000000,0.000586625,0.721268589,0.000111454,0.005795625,3.562740547,0.281055600,0.352556950,0.031325965,0.511111111,3.335541980,2.540000000,45,10173,46665,3415181,110497
474.102,25148.000000000,87735.000000000,12330.000000000,68360.000000000,1.039578264,0.283425980,0.160000000,0.180368637,0.460071432,0.563861002,0.000000000,1.000000000,1.304002444,0.000280325,0.243910253,0.000162206,0.002838605,1.022757364,0.000000000,0.101316559,0.469002341,-0.000000000,0.000280325,0.565613248,0.000102399,0.003291398,2.434462962,0.022772546,0.052380201,0.000000000,0.666666667,1.074684480,0.000135915,0.554032898,0.000014628,0.001492101,2.260068634,0.508221182,0.000125292,0.562803936,0.000058514,0.001301931,0.180000000,0.000539058,0.714467616,0.000073142,0.005324751,3.546128037,0.281759840,0.349899566,0.031325965,0.588932806,3.341914104,2.820000000,42,9704,45164,3825059,124808
205.409,19263.000000000,67007.000000000,9282.000000000,51020.000000000,1.075307046,0.313347707,0.120000000,0.181928655,0.460321918,0.565325571,0.000000000,1.000000000,1.313248694,0.000371117,0.258310039,0.000215471,0.003770739,1.035397715,0.000000000,0.104116033,0.481654253,0.000000000,0.000371117,0.574394548,0.000137201,0.004410035,2.487097788,0.023614220,0.054775801,0.000000000,0.666666667,1.087693926,0.000180487,0.559126710,0.000019600,0.001999216,2.264051539,0.510858487,0.000167254,0.578164975,0.000078401,0.001744414,0.100000000,0.000716684,0.722021880,0.000137201,0.007134457,3.590600426,0.282220998,0.350267216,0.031325965,0.511111111,3.354081847,2.160000000,31,6751,24492,4355268,118315
202.735,19263.000000000,67007.000000000,9282.000000000,51020.000000000,1.075307046,0.313347707,0.120000000,0.181928655,0.460321918,0.565325571,0.000000000,1.000000000,1.313248694,0.000371117,0.258310039,0.000215471,0.003770739,1.035397715,0.000000000,0.104116033,0.481654253,0.000000000,0.000371117,0.574394548,0.000137201,0.004410035,2.487097788,0.023614220,0.054775801,0.000000000,0.666666667,1.087693926,0.000180487,0.559126710,0.000019600,0.001999216,2.264051539,0.510858487,0.000167254,0.578164975,0.000078401,0.001744414,0.100000000,0.000716684,0.722021880,0.000137201,0.007134457,3.590600426,0.282220998,0.350267216,0.031325965,0.511111111,3.354081847,2.060000000,30,6214,23375,3951482,103560
24.4629,17855.000000000,61843.000000000,5508.000000000,26608.000000000,2.241648511,1.324225797,0.100000000,0.207005412,0.451623715,0.752868076,0.000000000,1.000000000,1.465015497,0.000604769,0.567022312,0.000363108,0.006354394,1.154937435,0.000000000,0.180208960,0.615641912,-0.000000000,0.000604769,1.068337652,0.000263079,0.017175286,2.692172119,0.073623580,0.148848867,0.000000000,0.870967742,1.722395426,0.000266293,0.898903274,0.000037583,0.007178292,2.341492860,0.484703848,0.000376482,1.043569333,0.000150331,0.007178292,0.040000000,0.001918169,1.232673832,0.000187913,0.015634396,4.216903071,0.260123068,0.491129215,0.017741352,0.648351648,3.781202795,2.520000000,31,7339,13515,4829147,164297
209.752,20515.000000000,71386.000000000,9888.000000000,54439.000000000,1.074737055,0.311302559,0.140000000,0.181634490,0.460480371,0.565308019,0.000000000,1.000000000,1.313705078,0.000348420,0.254697080,0.000202265,0.003539644,1.033129525,0.000000000,0.102353092,0.482356399,-0.000000000,0.000348420,0.576811408,0.000128584,0.004133066,2.481024195,0.023254427,0.053977118,0.000000000,0.666666667,1.078859900,0.000169397,0.559562403,0.000018369,0.001873657,2.266450966,0.510461250,0.000156859,0.575679546,0.000073477,0.001634857,0.120000000,0.000674890,0.723023548,0.000128584,0.006686383,3.585535217,0.281198887,0.352025288,0.031325965,0.511111111,3.348433044,2.220000000,31,6500,27938,4001113,92325
