cpuTime,fileName,restarts,conflicts,decisions,propagations,conflictLiterals
19.611,bench_10789.smt2.cnf,43,9755,27277,4267303,177209
307.247,bench_1078.smt2.cnf,37,8629,38306,3735628,92212
20.0881,bench_10796.smt2.cnf,39,9227,29894,3720654,152525
189.395,bench_1079.smt2.cnf,41,9526,39835,3880281,118203
21.9275,bench_10803.smt2.cnf,47,11262,32527,4183500,207546
210.837,bench_1080.smt2.cnf,41,9526,39835,3880281,118203
19.1608,bench_10812.smt2.cnf,40,9410,30286,3758204,156070
599.642,bench_1081.smt2.cnf,29,5603,34507,3737233,65603
22.481,bench_10822.smt2.cnf,46,11207,32330,4151052,205734
599.799,bench_1082.smt2.cnf,29,5588,34473,3712789,64198
16.0683,bench_10834.smt2.cnf,40,9400,25576,3983029,217297
16.2039,bench_10835.smt2.cnf,38,9057,24747,3879109,206116
498.82,bench_1083.smt2.cnf,31,7886,34904,2431200,101888
599.746,bench_10842.smt2.cnf,55,12621,57606,3946345,206054
599.853,bench_10843.smt2.cnf,53,12031,56258,3655438,195983
11.9087,bench_10848.smt2.cnf,46,10713,30262,3105589,304119
11.4372,bench_10849.smt2.cnf,40,9406,27997,2908856,249977
519.839,bench_1084.smt2.cnf,41,9536,44124,3720705,123563
46.3148,bench_10856.smt2.cnf,41,9507,26428,4345839,168946
301.008,bench_1085.smt2.cnf,31,6767,32278,3494506,72710
298.781,bench_1086.smt2.cnf,31,6983,32936,3563337,74291
599.027,bench_1087.smt2.cnf,37,8672,39276,3434614,92229
599.358,bench_1088.smt2.cnf,31,7992,35372,3043912,85627
46.7389,bench_10891.smt2.cnf,43,9743,27118,4467847,174428
312.778,bench_1089.smt2.cnf,28,5183,29184,3548026,62723
321.531,bench_1090.smt2.cnf,25,4744,27320,3311096,59903
73.7329,bench_10911.smt2.cnf,23,4430,80155,2588109,31694
418.955,bench_1091.smt2.cnf,31,7011,36738,3507575,78816
426.014,bench_1092.smt2.cnf,31,6882,36408,3381680,75797
74.1801,bench_10939.smt2.cnf,46,10982,28560,4676049,188756
599.348,bench_1093.smt2.cnf,30,6333,30972,3315508,92399
72.4903,bench_10941.smt2.cnf,46,10881,28420,4648458,186066
598.912,bench_10946.smt2.cnf,51,11731,55561,3570841,192123
6.95637,bench_10947.smt2.cnf,25,4623,18021,3992286,59587
599.188,bench_1094.smt2.cnf,31,6418,31349,3380906,93424
12.665,bench_10954.smt2.cnf,31,7875,26893,3581741,214953
70.7633,bench_10961.smt2.cnf,30,5649,90604,3016631,42391
599.336,bench_10970.smt2.cnf,46,11215,51673,3238301,188467
7.02245,bench_10971.smt2.cnf,24,4605,17769,3944999,59400
67.9597,bench_10977.smt2.cnf,62,15925,42675,3604200,325347
67.2244,bench_10978.smt2.cnf,63,16138,43096,3649899,332372
200.031,bench_1097.smt2.cnf,31,6970,34010,3081647,76734
204.726,bench_1098.smt2.cnf,34,8344,38807,3726588,95635
11.684,bench_10992.smt2.cnf,31,8004,27041,3604077,222672
11.0969,bench_10997.smt2.cnf,46,10985,30630,3134955,316872
11.3592,bench_10998.smt2.cnf,52,11944,32437,3283843,350135
374.966,bench_1099.smt2.cnf,29,5552,32332,3713489,66361
11.1406,bench_11004.smt2.cnf,56,12654,33689,3393743,367927
31.0717,bench_11006.smt2.cnf,37,8814,27189,4032062,119885
29.9015,bench_11007.smt2.cnf,35,8430,26292,3931935,116010
11.4903,bench_11008.smt2.cnf,53,12285,33009,3337799,359681
363.475,bench_1100.smt2.cnf,30,6152,34626,4042096,80953
9.62081,bench_11011.smt2.cnf,92,24738,47846,3489261,726074
9.4535,bench_11012.smt2.cnf,91,24461,47423,3453601,716556
599.059,bench_1101.smt2.cnf,32,8085,32269,3691984,99127
599.089,bench_1102.smt2.cnf,30,5801,22774,2410897,70581
6.91911,bench_11039.smt2.cnf,15,2628,12118,2549285,30209
11.1623,bench_11040.smt2.cnf,44,9888,28992,2996334,263436
11.1502,bench_11042.smt2.cnf,46,10559,30058,3087924,296451
6.67033,bench_11052.smt2.cnf,25,4808,19036,4199045,61211
323.549,bench_1105.smt2.cnf,31,7167,31219,3744003,83802
317.439,bench_1106.smt2.cnf,31,6765,30262,3513092,78951
275.186,bench_1107.smt2.cnf,31,7178,33698,3776547,84512
7.08165,bench_11080.smt2.cnf,21,3875,15796,3562428,46184
284.916,bench_1108.smt2.cnf,31,6588,31363,3349543,76642
11.5544,bench_11096.smt2.cnf,31,7503,24099,2629613,179109
115.819,bench_1109.smt2.cnf,31,6884,31677,3339121,81508
74.3384,bench_11104.smt2.cnf,50,11703,27878,3374579,306925
111.893,bench_1110.smt2.cnf,31,7228,33161,3475494,84242
6.96712,bench_11120.smt2.cnf,24,4589,17737,3943448,59204
73.5873,bench_11131.smt2.cnf,46,11073,26255,3220709,286617
18.7631,bench_11133.smt2.cnf,45,10227,31879,3913050,178824
598.632,bench_11139.smt2.cnf,51,11803,55764,3598079,192989
599.442,bench_1113.smt2.cnf,31,7514,35966,3429614,89394
599.856,bench_11140.smt2.cnf,54,12522,57338,3804213,202225
51.1257,bench_1114.smt2.cnf,31,7103,41893,3519288,81325
19.9165,bench_11156.smt2.cnf,46,10992,33057,4186885,205930
51.1034,bench_1115.smt2.cnf,31,7335,42754,3697303,85011
599.576,bench_11161.smt2.cnf,42,9624,54560,3381250,93970
11.4705,bench_11168.smt2.cnf,50,11739,32032,3252374,342087
191.505,bench_1118.smt2.cnf,30,6013,27646,3749993,82065
5.71033,bench_11193.smt2.cnf,64,19334,27251,4904883,426757
20.1907,bench_11196.smt2.cnf,43,9832,31129,3844597,167683
74.5164,bench_11197.smt2.cnf,55,12600,29684,3565846,330228
185.282,bench_1119.smt2.cnf,30,5930,27171,3681454,80999
20.5957,bench_111.smt2.cnf,41,9543,30555,3787504,160851
5.30346,bench_11203.smt2.cnf,63,19015,26788,4812399,421069
21.7255,bench_11207.smt2.cnf,46,10519,32363,4042995,194579
599.834,bench_1120.smt2.cnf,31,7267,29832,3851177,121330
